"RSRVR_CD","MSRN_DT","LOLE","CNL_WALE","PONDAGE","WRERATES","INFLOW","SPLY_AMNT","GRS_OTFL","GTE_OTFL","ELGE_OTFL","SPLW_OTFL","ETC_OTFL","RSRVR_DRAR_AVG_THEX"
"저수지코드","계측일시","저수위","방수로수위","저수량","저수율","유입량","공급량","총방류량","게이트방류량","발전방류량","여수로방류량","기타방류량","저수지유역평균우량"
"4315010047","2024111110","362.4283333333","","550866.6","100.3","","","","","","","",""
"4315010049","2024111110","297.145","","1319272.5333333332","88.2","","","","","","","",""
"4315010056","2024111110","318.07","","211048.2","101","","","","","","","",""
"4315010094","2024111110","487.03","","598430.43","100.3","","","","","","","",""
"4371010011","2024111110","282.28","","685983.32","99.6","","","","","","","",""
"4371010015","2024111110","270.11","","1467302.85","80.9","","","","","","","",""
"4371010034","2024111110","160.85","","1322770","85.3","","","","","","","",""
"4371010073","2024111110","147.7216666667","","767875.185","82.7","","","","","","","",""
"4371010081","2024111110","37.9383333333","","18667.72","67.6","","","","","","","",""
"4371010100","2024111110","63.3","","387760","96.9","","","","","","","",""
"4371010105","2024111110","35.08","","424008.45","81.7","","","","","","","",""
"4371010109","2024111110","54.07","","99240.7","102.3","","","","","","","",""
"4371010140","2024111110","98.51","","234298.53","92","","","","","","","",""
"4371010156","2024111110","117.1","","477600","100","","","","","","","",""
"4371010161","2024111110","130.0783333333","","184658.4","99.6","","","","","","","",""
"4371010169","2024111110","100.59","","462573.99","98.6","","","","","","","",""
"4371010170","2024111110","91.97","","6361245","99.6","","","","","","","",""
"4371010174","2024111110","298.355","","0","0","","","","","","","",""
"4772010711","2024111110","129.8916666667","","383635.0115","82.7","","","","","","","",""
"4773010098","2024111110","196.81","","634447.9166666667","80.2","","","","","","","",""
"4773010129","2024111110","241.85","","245694.2","96.7","","","","","","","",""
"4773010133","2024111110","312.9133333333","","3736673.2","51.5","","","","","","","",""
"4773010145","2024111110","247.5","","211952.2","76.6","","","","","","","",""
"4773010162","2024111110","156.105","","332713.3","84.4","","","","","","","",""
"4773010254","2024111110","128.02","","3311648.4","72.4","","","","","","","",""
"4773010448","2024111110","91.84","","62184.9","39.1","","","","","","","",""
