"DST_RSK_DSTRCT_MNG_NO","DST_RSK_DSTRCT_NM","DST_RSK_DSTRCT_GRD_CD","DST_RSK_DSTRCT_TYPE_CD","DST_RSK_DSTRCT_DTL_TYPE_CD","DST_RSK_DSTRCT_RGN_CD","DST_RSK_DSTRCT_HONU","MAO_CD","MAOF_NM","FCLT_NM","FCLTY_GRD_CD","FCLTY_GRD_NM","DST_WASY_CD","WASY_NM","DSGN_YMD","DSGN_RSN","RMV_YMD","RMV_RSN","DAM_INTV","DAM_YMD_RNFL","DAM_HR_RNFL","PRPL_MTTR_CD","WRTR_OGDP_JBGD_CN","IDFR_OGDP_JBGD_CN","FCLT_MNG_INST_NM","MNG_RBPRSN_OGDP_JBGD_CN","MNG_CTZN_JBGD_NM","LAST_MDFCN_DT","APLY_YN","DSGN_AREA","APLY_YR","APLY_YMD","HAB_NOHO","HAB_NOPE","BSC_PLAN_NM","FNDG_YMD","ACT_LMT_MUOR_SPTR","ENCT_YMD","DCSD_CNT","INJPSN_CNT","DAM_HSTRY_IDX","CST_BNTS_VL","PLCY_VL","CNTNC_VL","PREP_VL","BSC_PLAN_YN","MTN_ADDR_YN","MNLNO","SUBLOTNO","DADDR","ROAD_NM_ADDR_CD","RONA_DADDR","STDG_CD","USE_YN","TMPR_STDG_CD"
"재해위험지구관리번호","재해위험지구명","재해위험지구등급코드","재해위험지구유형코드","재해위험지구상세유형코드","재해위험지구지역코드","재해위험지구번지","부처코드","부처명","시설명","시설물등급코드","시설물등급명","재해수계코드","수계명","지정일자","지정사유","해제일자","해제사유","피해주기","피해일자강우량","피해시간강우량","추진사항코드","작성자소속직급내용","확인자소속직급내용","시설관리기관명","관리책임자소속직급내용","관리주민직급명","최종수정일시","신청여부","지정면적","신청연도","신청일자","거주세대수","거주인원수","기본계획명","수립일자","행위제한조례구분자","제정일자","사망자수","부상자수","피해이력지수","비용편익값","정책값","지속값","준비값","기본계획여부","산주소여부","주지번","부지번","상세주소","도로명주소코드","도로명상세주소","법정동코드","사용여부","임시법정동코드"
"468402004001","성내","1","002","지반침하","1281025000","","001","행정안전부","성내지반침하","010","지방관리","4","영산강","20030203","연약지반이 발견되어 지반보강으로 지반침하 방지","20080429","","0","0","0","4","재난안전관리 시설8","재난안전관리 시설6","무안군","재난안전관리 시설8","이장","2010/05/12 12:58:18.000000000","","","","","","","","","","","","","","","","","","","0","184",""," ","","전라남도 무안군 무안읍 성내1길  16-12   ","4684025021","Y","4684025021"
"468402006001","교촌","1","002","지반붕괴","1281025000","","001","행정안전부","교촌지반침하","050","기타","","","20060224","지반 공동에 따른 붕괴및 함몰로 주민의 싱명 및 재산보호","20100504","재해위험지구 정비사업 완료","0","0","0","4","재난안전관리 시설8","재난안전관리 시설6","무안군","재난안전관리 시설8","이장","2010/05/12 18:32:19.000000000","","","","","","","","","","","","","","","","","","","0","198","2"," ",""," [지점번호:다라05886637]","4684025024","Y","4684025024"
"468402008003","성남1지구","1","002","지반침하","1281025000","","001","행정안전부","성남1지반침하","050","기타","","","20080418","대형건물이 있어 추가 지정하여 정비","20120727","","","","","4","재난안전관리 시설8","재난안전관리 시설6","무안군","재난안전관리 시설8","","2012/07/26 14:10:28.000000000","","","","","","","","","","","","","","","","","","","0","53",""," ","","전라남도 무안군 무안읍 무안중앙로  34-2   ","4684025023","Y","4684025023"
"468402009004","성남2지구","1","002","지반침하","1281025000","","001","행정안전부","성남2지구","050","기타","","","20090305","지반침하","20120727","","","","","4","","","무안군","재난안전관리/시설8","","2012/07/26 14:10:40.000000000","","","","","","","","","","","","","","","","","","","0","336","1"," ","","전라남도 무안군 무안읍 무안로  397-11   ","4684025023","Y","4684025023"
"468002006003","농안지구","3","005","","1277000000","","","","고읍천","012","지방1급하천","19","기타","20060224","호우시 하천이 범람하여 피해발생","","","0","0","0","4","재난안전과 시설8급","재난안전과 시설6급","재난안전과","재난안전과 시설8급","농안리 이장","2026/04/03 10:10:41.000000000","0","0","","20151102","0","0","","","00","","0","0","0","0","","","","N","0","1","","","","","4680025324","Y","4680025324"
"468402009005","무안지구","1","001","시가지침수","1281025000","성남리,교촌리 일대","001","행정안전부","시가지 침수","050","기타","19","기타","20090731","무안읍(성남리,교촌리)시가지 침수","20150113","정비완료","1","237","77","4","재난안전관리/시설8","재난안전관리/시설6","무안군청","상하수도사업/시설7","와동마을이장","2015/07/09 13:58:48.000000000","","0","2009","20090727","0","0"," ","","00","","0","0","0","0","","","","N","0","96","","성남리,교촌리 일대",""," [지점번호:다라06206614]","4684025023","Y","4684025023"
"468402010006","망운 창포재해위험","1","001","침수피해","1281035000","","001","행정안전부","망운 창포재해위험지구","050","기타","19","기타","20150316","침수위험","","","1","0","0","4","안전총괄과","안전총괄과","안전총괄과","안전총괄과","","2018/10/19 21:09:00.000000000","0","144","2015","20150316","85","204","소하천정비종합계획","20050926","02","20110713","0","70","2","6","","","","Y","0","998","1","",""," [지점번호:나라99686847]","4684035023","Y","4684035023"
"468402013007","성남4","3","001","","1281025000","","001","행정안전부","하수도","050","기타","","","20000530","침수위험","20060419","","","","","4","지방시설서기보","지방시설사무관","건설교통과","지방시설주사보","임점남","2013/06/15 15:15:12.000000000","","","","","","","","","","","","","","","","","","","0","123",""," ",""," ","4684025023","Y","4684025023"
"468001998004","순지지구","2","001","침수위험","1277000000","","","","탐진강","011","국가하천","-1","","19960617","하천내 고수부지에 위치하여 집중호우시 유수소통 불량등으로 침수위","20100517","재해위험지구 정비사업시행으로 재해위험 해소","3","300","60","4","재난안전과 시설8급","재난안전과 시설6급","재난안전과","재난안전과 시설8급","순지리","2026/07/23 09:50:20.000000000","0","0","","20151103","0","0","","","00","","0","0","0","0","","","","N","0","289","","","","","4680025028","Y","4680025028"
"468002004001","홍거지구","3","001","외수","1277000000","","","","홍거천","013","지방2급하천","-1","","20030108","하천좌안 제방축조,하천 미개수지역으로 홍수시마다 범람","20110110","재해위험지구 정비사업에 따른 재해위험 해소","1","200","50","4","재난안전과 시설8급","재난안전과 시설6급","재난안전과","재난안전과 시설8급","안양면 운흥리","2026/07/23 09:52:44.000000000","0","1","","20151104","0","0","","","00","","0","0","0","0","","","","N","0","593","3","","","","4680032026","Y","4680032024"
"468902000002","이포지구","1","001","해수침수","1285000000","","","","노화이포침수지구","050","기타","-1","","20000305","해수의 범람으로 인한 만조시 물양장 및 주택침수","20170817","사업 완료에 따른 해제","1","0","0","4","안전건설과 시설7급","안전건설과 시설6급","노화읍사무소","노화읍 시설6급","","2026/06/17 16:36:19.000000000","0","30000","2003","20030310","64","123","","","02","20110310","0","0","0","0","","","","N","0","896","1","","4689025621108960001032954","","4689025621","Y","4689025621"
"468002004002","배산지구","3","005","외수","1277000000","일원","","","배산천","012","지방1급하천","-1","","20040401","매년 홍수시 제방범람으로 농경지 침관수 및 인근주택 침수","20171030","2014. 6. 25. ~ 2017. 10. 30. / 배산천 생태하천조성사업 준공","1","80","50","4","재난안전과 시설8급","재난안전과 시설6급","재난안전과","재난안전과 시설8급","장동면 배산리 이장","2026/05/18 15:57:54.000000000","0","380000","","20151102","0","0","","","00","","0","0","0","0","","","","N","0","504","","","","","4680033024","Y","4680033023"
