"MNG_NO","RGN_CD","STDG_CD","DONG_CD","INSTL_DT","PRDCT_FBCTN_BZENTY","INSTL_BZENTY","WHOL_HGT","FBRC_NM","YR","LOT","LAT","OPEN_DMRS","SHLT_TYPE_CD","USE_YN","FCLT_KND_SE_CD","AREA","LEN","ATPSR","INJQTY","TIME_JET_HR","ADDR"
"관리번호","지역코드","법정동코드","행정동코드","설치일시","제품제작업체","설치업체","전체높이","원단명","연도","경도","위도","펼침지름","그늘막유형코드","사용여부","시설종류구분코드","면적","길이","분사압","분사량","1회분사시간","주소"
"1","1117000000","1117012100","1117059000","20220502","대상디자인","대상디자인","3","아크릴수지","2023","126.9613633","37.5389863","5","2","Y","001","","","","","","서울특별시 용산구 효창원로 120-1  효창공원역  3번출구 횡단보도 앞 (용문동)"
"1","1123000000","1123010300","1123054500","20170720","","","1","1","2023","127.0331642","37.586601","3","1","Y","001","","","","","","서울특별시 동대문구 안암로 132 고대 앞 사거리 제자교회 앞 교통섬 (제기동)"
"1","1126000000","1126010100","1126052000","20180402","㈜레드건축디자인","㈜레드건축디자인","3","매쉬","2025","127.0796958","37.5867245","","1","Y","001","","","","","","서울특별시 중랑구 면목동 176-123 황기닭곰탕 앞"
"1","1129000000","1129010400","1129052500","20170703","","","","","2023","127.006261","37.5887161","5","1","Y","001","","","","","","서울특별시 성북구 동소문동1가 1-2 한성대입구역 6번출구 앞"
"1","1130500000","1130510200","1130559500","20170823","유룩스","유룩스","3","천","2023","127.0237572","37.6359445","4","1","Y","001","","","","","","서울특별시 강북구 도봉로 308 샴푸나이트 앞 (번동)"
"1","1141000000","1141011800","1141068500","20180618","메탈크레프트","메탈크레프트","3","매쉬","2023","126.9302975","37.5778536","5","1","Y","001","","","","","","서울특별시 서대문구 모래내로 289 현대교통 종점 건너편 횡단보도 (홍은동)"
"1","1144000000","1144010100","1144055500","20190729","㈜RED건축디자인","㈜RED건축디자인","3","메쉬","2023","126.9521826","37.5569161","3","1","Y","001","","","","","","서울특별시 마포구 신촌로 238 프라자 약국 앞 (아현동)"
"1","1147000000","1147010100","1147065000","20180815","(주)젠텍","(주)젠텍","2","메쉬","2023","126.8634375","37.5261062","5","1","Y","001","","","","","","서울특별시 양천구 오목로 233 목동역1번출구 앞 (신정동)"
"1","1150000000","1150010500","1150060300","20190701","(주)젠텍","로즈디자인","3","메쉬","2023","126.8405614","37.5683624","5","1","Y","001","","","","","","서울특별시 강서구 마곡동 766-2 양천향교역 7번~8번출구 사이(탐탐커피앞)"
"1","1153000000","1153010200","1153055000","20180628","메탈크래프트코리아","유진상사","3","메쉬","2023","126.8930747","37.4907758","4","1","Y","001","","","","","","서울특별시 구로구 도림로 89 이화아파트교차로 교통섬 (동아주유소 앞) (구로동)"
"1","1154500000","1154510200","1154562000","20190531","젠텍","레드건축디자인","3","메쉬","2023","126.8979557","37.4662423","4","1","Y","001","","","","","","서울특별시 금천구 시흥대로 368  금천구 시흥대로 368 (독산동)"
"1","1156000000","1156013200","1156051500","20180625","(주)디유케이바이오산업","(주)디유케이바이오산업","3","메쉬","2023","126.917709","37.514854","4","1","Y","001","","","","","","서울특별시 영등포구 신길동 104-6 영등포본동 104-6 신길삼거리 부근(대윤병원 주변)교통섬"
"1","1162000000","1162010100","1162061500","20200601","대상디자인","대상디자인","3","매쉬","2023","126.953338","37.4813474","5","2","Y","001","","","","","","서울특별시 관악구 남부순환로 1827 서울대입구 5번출구 (봉천동)"
"1","1165000000","1165010800","1165052000","20170601","","","","","2023","127.0287097","37.495424","","1","Y","001","","","","","","서울특별시 서초구 강남대로 365 강남대로 도씨에빛Ⅰ 빌딩(강남대로365) 앞 횡단보도  (서초동)"
"1","1174000000","1174011000","1174051500","20190608","메탈크래프트","상원씨앤피","3","메시","2023","127.180187","37.561428","3","1","Y","001","","","","","","서울특별시 강동구 고덕로97길 80 강솔초등학교 강솔유치원 앞 (강일동)"
"1","2611000000","2611010700","2611051000","20190820","대상디자인","대상디자인","3","","2023","129.0376741","35.1049245","4","2","Y","001","","","","","","부산광역시 중구 중앙대로 지하83 부산세관 앞 교통섬 (중앙동4가)"
"1","2614000000","2614012400","2614068000","20170806","(주)썬세이드","메탈크래프트","3","","2023","129.0209899","35.0798116","5","1","Y","001","","","","","","부산광역시 서구 충무대로 83 암남동 주민센터 앞 횡단보도 (암남동)"
"1","2617000000","2617010400","2617066000","20230918","메탈크래프트코리아(주)","메탈크래프트코리아(주)","3","메시","2023","129.0638156","35.1370292","5","2","Y","001","","","","","","부산광역시 동구 범일동 946-1 범일동 유니클로 앞 교통섬"
"1","2620000000","2620011700","2620059000","20190521","","","","","2023","129.043619","35.093227","","1","Y","001","","","","","","부산광역시 영도구 대교로 11 보훈회관 앞 횡단보도 (봉래동3가)"
"1","2623000000","2623010600","2623054000","20170811","젠텍","백우광고사","3","메쉬","2023","129.0554197","35.1703864","4","1","Y","001","","","","","","부산광역시 부산진구 연지동 149-9 시민공원 북문 앞 횡단보도"
"1","2626000000","2626010800","2626056000","20190717","","SH테크놀로지","4","방수원단, 자외선차단","2023","129.0783002","35.204859","5","1","Y","001","","","","","","부산광역시 동래구 중앙대로 1324(온천동)"
"1","2629000000","2629010600","2629051000","20180807","젠텍","","3","메쉬","2023","129.0916887","35.1349222","5","1","Y","001","","","","","","부산광역시 남구 수영로 230 대연사거리 LG U+ (대연동)"
"1","2635000000","2635010700","2635055200","20190531","","","3","매쉬","2023","129.1821659","35.1720883","4","1","Y","001","","","","","","부산광역시 해운대구 좌동순환로 275 해운대백병원 사거리 탑마트쪽 횡단보도 (좌동, 대우2차아파트)"
"1","2638000000","2638010500","2638058000","20180515","메탈크래프트","메탈크래프트","2","매쉬","2023","128.9670312","35.0829007","4","1","Y","001","","","","","","부산광역시 사하구 장림동 1141 장림1동 행정복지센터 앞"
"1","2641000000","2641010800","2641061000","20200612","","","5","아크릴","2023","129.0885284","35.2234076","4","2","Y","001","","","","","","부산광역시 금정구 식물원로 21 래미안-GS주유소 횡단보도 (장전동)"
"1","2647000000","2647010200","2647065000","20190705","","","","","2023","129.0888551","35.1914014","","2","Y","001","","","","","","부산광역시 연제구 반송로 88 홈플러스 부산연산점 앞 횡단보도 (연산동)"
