"DONG_CD","STATS_VL","DTA_UNIT_NM","ORGNL_PATH_CN","REG_DT","MDFCN_DT","YR"
"행정동코드","통계값","데이터단위명","원본경로내용","등록일시","수정일시","연도"
"1100000000","1216529","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:00:51","2023/01/02 23:04:02","2014"
"1111000000","24376","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:00:52","2023/01/02 23:04:02","2014"
"1114000000","19740","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:00:53","2023/01/02 23:04:02","2014"
"1117000000","34571","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:00:53","2023/01/02 23:04:02","2014"
"1120000000","36564","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:00:54","2023/01/02 23:04:02","2014"
"1121500000","38808","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:00:54","2023/01/02 23:04:02","2014"
"1123000000","50756","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:00:55","2023/01/02 23:04:02","2014"
"1126000000","51919","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:00:56","2023/01/02 23:04:02","2014"
"1129000000","61929","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:00:56","2023/01/02 23:04:02","2014"
"1130500000","50755","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:00:57","2023/01/02 23:04:02","2014"
"1132000000","46438","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:00:58","2023/01/02 23:04:02","2014"
"1135000000","66411","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:00:58","2023/01/02 23:04:02","2014"
"1138000000","66864","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:00:59","2023/01/02 23:04:02","2014"
"1141000000","44982","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:00","2023/01/02 23:04:02","2014"
"1144000000","47096","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:00","2023/01/02 23:04:02","2014"
"1147000000","48068","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:01","2023/01/02 23:04:02","2014"
"1150000000","64117","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:02","2023/01/02 23:04:02","2014"
"1153000000","50615","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:03","2023/01/02 23:04:02","2014"
"1154500000","29243","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:04","2023/01/02 23:04:02","2014"
"1156000000","49184","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:05","2023/01/02 23:04:02","2014"
"1159000000","52147","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:05","2023/01/02 23:04:02","2014"
"1162000000","62251","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:06","2023/01/02 23:04:02","2014"
"1165000000","47346","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:07","2023/01/02 23:04:02","2014"
"1168000000","57291","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:07","2023/01/02 23:04:02","2014"
"1171000000","64891","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:08","2023/01/02 23:04:02","2014"
"1174000000","50167","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:09","2023/01/02 23:04:02","2014"
"2600000000","492116","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:09","2023/01/02 23:04:02","2014"
"2611000000","9154","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:10","2023/01/02 23:04:02","2014"
