"RSTR_FCLTY_NO","YEAR","ARCD","FCLTY_TY","RSTR_NM","DTL_ADRES","AR","USE_PSBL_NMPR","COLR_HOLD_ELEFN","COLR_HOLD_ARCNDTN","CHCK_MATTER_NIGHT_OPN_AT","INPT_TIME","MODF_TIME","RM","RN_DTL_ADRES","CHCK_MATTER_WKEND_HDAY_OPN_AT","MNGDPT_CD","CHCK_MATTER_STAYNG_PSBL_AT","XCORD","YCORD","LO","LA","DTL_POSITION","WKDAY_OPER_BEGIN_TIME","WKDAY_OPER_END_TIME","WKEND_HDAY_OPER_BEGIN_TIME","WKEND_HDAY_OPER_END_TIME","FCLTY_SCLAS"
"쉼터시설번호","년도","지역코드","시설유형 중분류","쉼터명칭","상세주소","면적","이용가능인원","냉방기보유선풍기","냉방기보유에어컨","점검사항야간개방여부","입력시간","수정시간","비고","도로명상세주소","점검사항주말휴일개방여부","관리부서코드","점검사항숙박가능여부","X좌표","Y좌표","경도","위도","위치상세","평일운영시작시간","평일운영종료시간","주말휴일운영시작시간","주말휴일운영종료시간","시설유형 소분류"
"5221000405","2026","5221039000","003","월송마을회관","884-1","82.6","15","","","","2026-04-13 11:50:16.000","2026-07-21 17:09:18.000","","전북특별자치도 김제시 청하면 송상리길 319-2","","","N","","","126.840092","35.86884","","","","","","001"
"4673000267","2026","1273033000","003","내죽남성경로당","248-1","40","24","2","1","","2026-05-29 15:26:03.000","2026-05-29 15:26:03.000","","전남광주통합특별시 구례군 토지면 대내안길 30","","","","","","127.521505","35.20824","","","","","","001"
"4673000287","2026","1273035000","003","용전남성경로당","296-3","34","11","2","1","","2026-05-29 16:30:18.000","2026-05-29 16:30:18.000","","전남광주통합특별시 구례군 광의면 용전길 35-4 (용전회관)","","","","","","127.462401","35.257666","","","","","","001"
"2620000072","2026","2620054000","001","영선나릿작은도서관","97-3","","10","","","","2026-06-05 10:30:41.000","2026-06-22 16:48:00.000","","부산광역시 영도구 꿈나무길 25 (영선1동주민센터)","","","","","","129.044694","35.090201","","0900","1800","","","002"
"5274000300","2026","5274035000","001","장수계남우체국","967-4","50","12","2","1","","2026-06-23 17:29:38.000","2026-06-23 17:31:59.000","","전북특별자치도 장수군 계남면 장수로 3078 (장수계남우체국)","","","","","","127.578492","35.703343","","0900","1800","","","001"
"5111000314","2026","5111036000","004","신북농협고탄지점","132-1","","20","","2","","2026-06-28 15:25:05.000","2026-06-28 15:25:05.000","","강원특별자치도 춘천시 사북면 춘화로 526 (신북농협)","","","","","","127.709123","37.988016","","0900","1600","","","001"
"4111700168","2026","4111755000","003","영흥숲푸르지오파크비엔경로당","628","","","","","","2026-07-02 11:46:39.000","2026-07-02 13:50:34.000","","경기도 수원시 영통구 영흥숲길 50 (영흥숲푸르지오파크비엔)","","","","","","127.066863","37.263725","","","","","","001"
"5221000641","2026","5221034000","003","신교농원마을쉼터","532-121","32.64","","","","","2026-07-03 16:26:57.000","2026-07-03 16:26:57.000","","전북특별자치도 김제시 용지면 장신1길 191","","","","","","126.981949","35.861799","","","","","","001"
"3600000021","2026","3600000000","004","세븐일레븐편의점(세종부강사랑점)","973-13","130.32","3","0","1","Y","2026-07-06 14:05:11.000","2026-07-23 14:35:51.000","","세종특별자치시 부강면 부강신대길 72-26 (블루빌)","Y","","N","","","127.362566","36.530189","","0900","1800","","","002"
"3600000026","2026","3600000000","004","코리아세븐고운프라자점","1720","79.77","3","0","2","Y","2026-07-07 09:59:36.000","2026-07-23 14:35:53.000","","세종특별자치시 마음로 70 (에셀프라자)","Y","","N","","","127.234371","36.505079","","0900","1800","","","002"
"4420000631","2026","4420041000","001","신창커뮤니티센터","2-164","747.77","80","","9","Y","2026-07-07 13:52:08.000","2026-07-21 12:39:37.000","","충청남도 아산시 신창면 서부북로 626 (신창커뮤니티센터(신창행복누림터여유))","","","","","","126.934449","36.803725","","0900","1800","","","002"
"3023000195","2026","3023061000","004","대신정보통신_법동점","202-1","40","4","","1","","2026-04-15 16:48:53.000","2026-05-20 15:41:16.000","","대전광역시 대덕구 계족산로5번길 117","","","","","","127.430398","36.367187","","1000","2000","","","002"
"5221000523","2026","5221043000","003","농원","308-49","93","24","","","","2026-04-15 17:55:10.000","2026-07-21 13:52:47.000","","전북특별자치도 김제시 봉남면 회성3길 11","","","","","","126.948561","35.725993","","","","","","001"
"4150000577","2026","4150025000","003","진암11리경로당(우방아이유쉘)","814","111","33","","2","","2026-06-28 00:14:19.000","2026-07-15 15:33:58.000","","경기도 이천시 장호원읍 서동대로 8908-41 (이천진암지구 우방아이유쉘 메가하이브)","","","","","","127.623146","37.113192","","","","","","001"
"5214000824","2026","5214033000","003","함라여성경로당","297-1","120","15","1","1","","2026-07-02 16:28:07.000","2026-07-02 16:31:57.000","","전북특별자치도 익산시 함라면 천남길 8 (함라예성노인복지회)","","","","","","126.909721","36.059674","","","","","","001"
"46880176","2026","1284035000","003","신기경로당","신기리 201-4 신기리 마을회관","67","43","1","1","","2021-04-07 13:24:52.000","2026-06-04 10:58:18.000","","전남광주통합특별시 장성군 삼계면 신정로  190 , 신기리 마을회관","","4980130","N","","","126.6402953","35.2656012","","","","0900","1800","001"
"2632000191","2026","2632053000","003","금곡8,9단지경로당","810","99","28","4","1","","2024-07-09 20:48:46.000","2026-03-31 17:30:14.000","","부산광역시 북구 효열로 98 (주공아파트903동)","","3320095","N","1137803.181533","1696773.411327","129.01486","35.256741","","","","1000","1700","001"
"4887000398","2026","4887038000","003","부전경로당","922-0","73","20","3","1","","2023-01-05 17:08:35.000","2026-08-11 15:53:56.000","","경상남도 함양군 서상면 부전계곡로 322-1 ","","5460027","N","","","127.6649804","35.6452106","","","","0900","1800","001"
"4889049","2026","4889031000","003","계산1구마을회관","145-1","79.46","19","1","1","","2021-03-05 17:53:24.000","2026-08-21 09:20:52.000","","경상남도 합천군 봉산면계산5길 12","","5480120","Y","","","128.06995","35.5901435","","","","0900","1800","001"
"48720134","2026","4872040000","003","오산양지경로당","926-0","67.64","17","2","1","","2021-01-26 15:04:37.000","2025-07-18 07:51:22.000","","경상남도 의령군 봉수면 한지1길 8 ","","5390111","N","","","128.2289591","35.4889415","","","","0900","1800","001"
"47730383","2026","4773043000","003","용기7리경로당","69-5","95.9","7","1","1","","2021-04-09 08:51:07.000","2026-05-06 10:37:25.000","","경상북도 의성군 안계면 안신로 181-5 ","","5150159","N","","","128.4468457","36.4022417","","","","0900","1800","001"
"4159000762","2026","4159051500","003","새솔동대방2차경로당","11-0","175.68","20","0","4","","2021-07-13 20:23:12.000","2026-01-09 09:18:39.000","","경기도 화성시 수노을1로 107 (새솔동, 송산신도시 대방노블랜드 리버스위트 2차)","","5530366","","","","126.817661","37.289755","경로당","","","","","001"
"4476000362","2026","4476032000","003","대양2리경로당","177-0","140","20","3","2","","2021-07-13 16:45:37.000","2026-01-05 12:30:54.000","","충청남도 부여군 은산면 충절로대양2길 85-4 ","","4570150","N","","","126.8111837","36.3214185","","","","0600","2300","001"
"4311400292","2026","4311431000","003","호명리경로당","155-0","82","20","1","2","","2024-08-19 11:00:46.000","2026-05-07 10:09:20.000","","충청북도 청주시 청원구 북이면 호명길 73 ","","5735012","N","","","127.6004988","36.732586","","","","1300","1700","001"
"47730271","2026","4773039000","003","외곡리경로당","252-2","90.87","30","3","1","","2021-04-09 08:51:07.000","2026-05-06 09:34:05.000","","경상북도 의성군 비안면 외곡길 16-6 ","","5150159","","1089759.972605","1817144.726526","128.5003129","36.3475263","","","","0900","1800","001"
"47730272","2026","4773039000","003","도암1리경로당(비안)","177-0","38","12","2","1","","2021-04-09 08:51:07.000","2026-05-06 09:34:29.000","","경상북도 의성군 비안면 도암1길 158 ","","5150159","","1093265.604485","1811980.334627","128.538757","36.3006413","","","","0900","1800","001"
"4889474","2026","4889046000","003","공암아곡경로당","711-0","63.99","15","1","1","","2021-03-05 17:53:24.000","2026-08-21 09:20:55.000","","경상남도 합천군 용주면공암길 249","","5480120","Y","","","128.0955319","35.4889217","","","","0900","1800","001"
"4889354","2026","4889042000","003","이암경로당","663-4","39.67","20","3","1","","2021-03-05 17:53:24.000","2026-08-21 09:20:54.000","","경상남도 합천군 쌍백면 하안삼리길 308 ","","5480120","Y","1056080.335829","1717704.725849","128.1179935","35.4535716","","","","0900","1800","001"
"1171000290","2026","1171055000","003","남천경로당","1-5","171.6","66","4","3","","2021-07-26 15:52:38.000","2026-07-09 11:03:14.000","누구나 무더위쉼터 이용가능에 동의","서울특별시 송파구 성내천로33가길 16 (남천경로당)","","3230277","N","","","127.154527","37.500077","","","","0900","2100","001"
"47730420","2026","4773044000","003","서릉1리경로당","36-1","71.4","15","3","2","","2021-04-09 08:51:07.000","2026-05-06 11:06:28.000","","경상북도 의성군 다인면 서릉1길 26-8","","5150053","N","","","128.3586245","36.447353","","","","0900","1800","001"
"45710280","2026","5271025000","003","전와경로당","444-0","91","62","2","1","","2021-04-05 16:39:18.000","2026-07-07 14:44:11.000","","전북특별자치도 완주군 삼례읍 전후와길 12-15","","4721023","N","","","127.1098042","35.9109104","","","","0900","1800","001"
"45710281","2026","5271025000","003","후상여자경로당","725-20","196.56","30","1","2","","2021-04-05 16:39:18.000","2026-07-07 14:44:11.000","","전북특별자치도 완주군 삼례읍 후상4길 18","","4721023","N","","","127.0614791","35.9058864","","","","0900","1800","001"
"45710282","2026","5271025000","003","구와여성경로당","508-3","49.5","40","2","1","","2021-04-05 16:39:18.000","2026-07-07 14:44:11.000","","전북특별자치도 완주군 삼례읍 구와로 117 ","","4721023","N","","","127.1098933","35.9126714","","","","0900","1800","001"
"4824080","2026","4824036000","003","삼정경로당","삼정리 33 삼정마을회관","144","36","4","2","","2021-03-09 17:55:01.000","2026-07-21 14:00:31.000","","경상남도 사천시 곤명면 세종태실로  396 , 삼정마을회관","","5340052","N","","","127.905114","35.145927","","","","0000","0000","001"
"41500133","2026","4150032000","003","도립1리경로당","524-0","80","20","2","1","","2021-04-20 15:08:49.000","2025-07-18 22:48:21.000","","경기도 이천시 백사면 원적로775번길 12 ","","4070000","N","","","127.4634272","37.3405557","","","","1000","1700","001"
"48850301","2026","4885025000","003","비파경로당","742-1","72","18","3","1","","2021-03-08 09:20:46.000","2026-09-12 18:20:25.000","","경상남도 하동군 하동읍 군청로 82-6","","5440176","N","","","127.7561147","35.0627831","","","","1000","2200","001"
"48850302","2026","4885025000","003","화산경로당","378-5","72","18","2","1","","2021-03-08 09:20:46.000","2026-09-12 18:20:25.000","","경상남도 하동군 하동읍 소재2길 3-3","","5440176","N","","","127.7573978","35.072108","","","","1000","2200","001"
"41500013","2026","4150025000","003","와현1리경로당","230-2","132","33","0","1","","2021-04-20 15:08:49.000","2025-07-18 22:45:26.000","","경기도 이천시 장호원읍 이풍로 253-21 ","","4070000","N","","","127.6002292","37.1609792","","","","1000","1700","001"
"46810006","2026","1278025000","003","고내경로당","389-2","73","18","1","1","","2021-03-10 10:43:16.000","2025-11-07 17:35:56.000","","전남광주통합특별시 강진군 강진읍동문길 15","","4920131","N","","","126.7706452","34.642263","","","","1000","2200","001"
"4213000303","2026","5113059000","003","봉화산벨라시티2차아파트경로당","1218-0","157.68","25","2","1","","2021-06-03 12:03:51.000","2026-07-21 11:17:18.000","","강원특별자치도 원주시 백간길 17-14","","4191093","N","","","127.9256051","37.3524109","","","","0900","1800","001"
"47730384","2026","4773043000","003","토매1리경로당","212-1","77.4","10","3","1","","2021-04-09 08:51:07.000","2026-05-06 10:39:02.000","","경상북도 의성군 안계면 토매1길 120 ","","5150159","N","","","128.4437115","36.3784931","","","","0900","1800","001"
"41670299","2026","4167053000","003","(오학동)오학1통경로당","134-10","150.48","37","1","1","","2021-03-11 16:11:16.000","2026-08-12 14:58:28.000","","경기도 여주시 오학동 오학길  18   (오학동)","","5700107","N","","","127.6498813","37.3146111","","","","","","001"
"46890066","2026","1285037000","003","삼산리경로당","696-4","51","12","2","1","","2021-03-16 21:33:34.000","2026-08-27 09:10:43.000","","전남광주통합특별시 완도군 금당면 삼산길 94-1 ","","4990296","Y","","","127.0484412","34.4378851","","","","0800","1800","001"
"46890067","2026","1285037000","003","신흥리경로당","912-0","44","11","2","1","","2021-03-16 21:33:34.000","2026-08-27 09:10:43.000","","전남광주통합특별시 완도군 금당면신흥원동길 5","","4990296","Y","","","127.049456","34.4218376","","","","0800","1800","001"
"2626000117","2026","2626051000","001","우성아파트정류소스마트버스정류장","77-1","19.2","6","","1","Y","2026-07-09 19:17:12.000","2026-07-09 19:17:12.000","◎ 한파쉼터 공동활용
◎ 하절기 냉방 6월~9월 운영(기온에 따라 기간 조정)
◎ 24:00~05:00 자동문 폐쇄","부산광역시 동래구 온천천로339번길 28 (낙민동한일유앤아이아파트 110동)","Y","","","","","129.091768","35.195391","","0500","1800","","","003"
"1156000379","2026","1156069000","003","보라매sk뷰아파트경로당","4958","","","","1","","2026-07-13 11:01:07.000","2026-07-13 11:01:07.000","","서울특별시 영등포구 여의대방로35가길 19 (보라매 SK VIEW)","","","","","","126.91819","37.502209","","","","","","001"
"1156000384","2026","1156062000","001","선유도서관","88-1","1354.7","285","","43","","2026-07-13 13:05:46.000","2026-07-13 13:05:46.000","","서울특별시 영등포구 선유로43가길 10-8 (선유도서관)","Y","","","","","126.892936","37.533321","","0900","2200","","","002"
"5219001840","2026","5219046000","004","새마을금고남원산내","658-2","","","","","","2026-07-13 14:54:08.000","2026-07-13 14:54:08.000","","전북특별자치도 남원시 산내면 대정길 82 (산내식당)","","","","","","127.626554","35.419028","","0900","1600","","","001"
"5219001841","2026","5219051000","004","새마을금고남원중앙본점","27-1","","","","","","2026-07-13 14:56:07.000","2026-07-13 14:56:07.000","","전북특별자치도 남원시 동림로 26 (새마을금고)","","","","","","127.389683","35.411345","","0900","1600","","","001"
"5219001843","2026","5219041000","004","새마을금고동남원본점","180-3","","","","","","2026-07-13 14:59:34.000","2026-07-13 14:59:34.000","","전북특별자치도 남원시 산동면 요천로 2914 (동남원새마을금고,산동지역아동센터)","","","","","","127.475671","35.491789","","0900","1300","","","001"
"5219001848","2026","5219059000","001","남원도통동우체국","592-1","","","","","","2026-07-13 15:12:46.000","2026-07-23 14:33:48.000","","전북특별자치도 남원시 춘향로 15 (남원도통동우체국)","","","","","","127.397945","35.416941","","0900","1600","","","001"
"5273000206","2026","5273000000","004","설천새마을금고","904-89","198","60","2","2","N","2026-03-26 17:37:32.000","2026-05-18 13:00:00.000","","전북특별자치도 무주군 설천면무설로 1589-1","N","","N","","","127.7876476","36.0091326","","0900","1600","","","001"
"5221000389","2026","5221039000","003","농원회관","726-17","77.04","29","","","","2026-04-13 10:56:41.000","2026-07-21 17:14:11.000","","전북특별자치도 김제시 청하면 청하3길 33","","","","","","126.8475","35.872978","","","","","","001"
"5221000533","2026","5221051000","003","서편경로당","342-3","","","","","","2026-04-16 09:11:08.000","2026-05-11 15:06:49.000","","전북특별자치도 김제시 중앙로 8","","","N","","","126.877155","35.80385","","","","","","001"
"4121000291","2026","4121065500","001","이케아.롯데아울렛광명점스마트버스정류장(정류장번호:14378)","500","15","5","","1","Y","2026-05-16 10:25:59.000","2026-07-14 21:37:49.000","","경기도 광명시 일직로 17 (이케아광명점,롯데아울렛)","Y","","","","","126.882746","37.423118","","0400","0100","","","003"
"2623000267","2026","2623066000","001","부산진구어린이청소년도서관","441-7","905.85","166","0","15","Y","2026-05-27 12:09:39.000","2026-06-08 11:10:49.000","","부산광역시 부산진구 백양순환로110번길 25 (부암3동주민센터)","Y","","N","","","129.039625","35.169012","","0900","1800","","","002"
"4673000254","2026","1273035000","003","유산남성경로당","73-1","78","16","2","1","","2026-05-29 11:09:57.000","2026-05-29 11:09:57.000","","전남광주통합특별시 구례군 광의면 유산길 58","","","","","","127.455787","35.248203","","","","","","001"
"2711000113","2026","2711058500","004","GS25대구역자이점","173","92.4","","","","N","2026-06-02 14:33:53.000","2026-08-28 13:49:17.000","","대구광역시 중구 서성로 99 (대구역센트럴자이)","N","","N","","","128.586559","35.875988","","0600","2300","","","002"
"5221000484","2026","5221042000","003","금구면신기경로당","311-56","","55","","","","2026-04-14 16:38:16.000","2026-04-14 16:38:16.000","","전북특별자치도 김제시 금구면 풍요로 1069","","","","","","127.01191","35.776323","","","","","","001"
"2826000347","2026","2827561000","003","가재울역트루엘에코시티경로당","627","210.78","30","2","6","","2026-04-21 13:17:26.000","2026-04-27 18:03:30.000","","인천광역시 서해구 열우물로240번길 20 (가재울역트루엘에코시티아파트)","","","N","","","126.686001","37.484559","","","","","","001"
"5221000602","2026","5221054000","003","이지움라프라임경로당","1132","","","","","","2026-04-22 10:21:58.000","2026-04-22 10:21:58.000","","전북특별자치도 김제시 도작로 38 (검산이지움 라프라임 아파트)","","","","","","126.903662","35.798786","","","","","","001"
"4311400298","2026","4311454000","001","율량지구주차타워","2177","","","","","N","2026-05-04 13:20:11.000","2026-07-15 16:51:54.000","","충청북도 청주시 청원구 율량로201번길 13","N","","N","","","127.499567","36.664703","","0900","1800","","","004"
"2671000258","2026","2671025000","001","다행복한종합복지관","234-1","400","40","0","3","N","2026-05-18 10:32:45.000","2026-08-26 17:32:36.000","","부산광역시 기장군 기장읍 차성로417번길 11 (기장교육행복타운)","Y","","N","","","129.214979","35.255404","","0900","1700","","","002"
"5221000478","2026","5221042000","003","오산경로당","443-1","","34","","","","2026-04-14 16:28:44.000","2026-04-14 16:28:44.000","","전북특별자치도 김제시 금구면 오봉로 150","","","","","","127.055193","35.785198","","","","","","001"
"4121000284","2026","4121064000","001","소하1동행정복지센터스마트버스정류장(정류장번호:14285)","1306-1","15","5","","1","Y","2026-05-16 10:12:33.000","2026-07-14 21:36:19.000","","경기도 광명시 소하동 1306-1","Y","","","","","126.884394","37.452225","","0400","0100","","","003"
